"","can_party","general_votes","ttl_disb","state","lamvotes","tvotes","tdisb","disb","votes"
"173","DEM",237501,1478598.99,"MD",5963.65299708767,0.970061312973592,0.242860143028761,14.2066055690263,56406725001
"174","DEM",242989,3846648.1,"MD",6055.65606493522,0.51507410772929,0.857145648969226,15.1627127036747,59043654121
"175","DEM",185770,1959657.49,"MD",5058.37137750592,0.657823565074685,0.753172063497068,14.4882802659361,34510492900
"176","DEM",238838,1027256.01,"MD",5986.13107797642,0.999354982335669,-0.0359112695525341,13.8424017373005,57043590244
"177","DEM",220657,2203493.34,"MD",5676.77776722346,0.760453240358189,0.649392692620368,14.6055545407953,48689511649
"178","DEM",235803,1409575.55,"MA",5935.04537660508,0.978644286135326,0.205561088766037,14.1587991886674,55603054809
"179","DEM",275487,879240.05,"MA",6587.10441117573,0.995546768747776,-0.0942689303846291,13.6868132338093,75893087169
"180","DEM",236713,1146668.15,"MA",5950.38532707996,0.999210119970228,0.0397383460788459,13.9523710342853,56033044369
"181","DEM",265823,1797668.25,"MA",6431.33945759489,0.942818179835573,0.333307485321793,14.4020009664222,70661867329
"182","DEM",285606,669000.12,"MA",6748.28262084542,0.984422032796551,-0.17582167484331,13.4135395184825,81570787236
"183","DEM",308923,1634839.69,"MA",7112.68764689339,0.97973566260431,0.200294861195421,14.3070553085767,95433419929
"184","DEM",253354,695853.17,"MA",6227.57156451314,0.977990732074432,-0.208648335666777,13.4528939544171,64188249316
"185","DEM",271019,528715.64,"MA",6515.31690640681,0.966662322650555,-0.256054591772603,13.1782060237796,73451298361
"186","DEM",211790,444154.18,"MA",5522.86589819679,0.877454671460495,-0.479659566288586,13.0039270333885,44855004100
"187","DEM",144334,2059958.93,"MI",4271.20540177387,0.117930634752101,0.993021835302209,14.5381966036738,20832303556
"188","DEM",110391,16088.15,"MI",3568.69273844394,-0.362333353191631,-0.932048572320622,9.68583825512856,12186172881
"189","DEM",128400,26310.9,"MI",3949.11386488669,-0.12518640363461,-0.992133239209852,10.1777385809749,16486560000
"190","DEM",195279,706564.67,"MI",5230.46741122679,0.92396119451283,-0.38248622332631,13.4681700126571,38133887841
