"","cand_pty_affiliation","general_votes","ttl_disb","can_party","disb","votes"
"137","DEM",257254,1176316.68,"DEM",13.9778986569041,257254
"138","REP",105030,60692.41,"REP",11.0135739280431,105030
"139","DEM",260175,1331751.71,"DEM",14.1020057088032,260175
"140","REP",170001,167116.24,"REP",12.0264448971741,170001
"141","REP",204220,2042118.59,"REP",14.5294983514367,204220
"142","DEM",150914,1685037.24,"DEM",14.3372982224146,150914
"143","REP",248230,759701.8,"REP",13.5406812668448,248230
"144","DEM",123642,73644.44,"DEM",11.2070039268483,123642
"145","REP",225445,340108.97,"REP",12.7370213452432,225445
"146","DEM",111676,13779.54,"DEM",9.53094016229784,111676
"147","REP",191626,3574756.56,"REP",15.0894076366868,191626
"148","DEM",160372,3132175.95,"DEM",14.9572385126758,160372
"149","DEM",199758,1738254.37,"DEM",14.3683919319808,199758
"150","REP",144066,51319.76,"REP",10.8458311421793,144066
"151","DEM",187021,1615369.72,"DEM",14.2950744172313,187021
"152","DEM",13665,1615369.72,"DEM",14.2950744172313,13665
"153","REP",105674,21169.79,"REP",9.96033044438203,105674
"154","DEM",186210,1154847.28,"DEM",13.9594786680873,186210
"155","DEM",22608,1154847.28,"DEM",13.9594786680873,22608
"156","REP",111149,50797.88,"REP",10.8356099004123,111149
"157","DEM",192274,1150878.91,"DEM",13.9560364779994,192274
"158","DEM",21298,1150878.91,"DEM",13.9560364779994,21298
"159","DEM",187811,1144648.03,"DEM",13.9506077503343,187811
"160","REP",120653,161189.52,"REP",11.9903360945343,120653
"161","REP",5071,161189.52,"REP",11.9903360945343,5071
"162","DEM",163499,1447329.34,"DEM",14.1852305816513,163499
"163","DEM",15753,1447329.34,"DEM",14.1852305816513,15753
"164","REP",4901,98931.97,"REP",11.5021877211889,4901
"165","REP",124900,98931.97,"REP",11.5021877211889,124900
"166","DEM",233554,1451279.77,"DEM",14.1879563251344,233554
"167","REP",172301,221665.5,"REP",12.3089247677981,172301
"168","DEM",265178,466613.21,"DEM",13.053255949356,265178
"169","REP",255107,1113704.51,"REP",13.9232024129375,255107
"170","DEM",114079,54600.77,"DEM",10.9078032641977,114079
"171","REP",231163,2047935.63,"REP",14.5323428339835,231163
"172","DEM",102801,136763.01,"DEM",11.8260048528705,102801
"173","LIB",9395,27973.97,"Other",10.2390297139143,9395
"174","REP",193843,794643.44,"REP",13.5856487898842,193843
"175","DEM",136338,602081.92,"DEM",13.3081487947672,136338
"176","DEM",12519,7757,"DEM",8.95635094049087,12519
"177","REP",287509,833240.76,"REP",13.6330779069996,287509
"178","DEM",113088,50194.24,"DEM",10.8236555580607,113088
"179","DEM",194549,395395.74,"DEM",12.8876424157608,194549
"180","REP",213519,3928266.85,"REP",15.183708881485,213519
"181","DEM",151051,42518.11,"DEM",10.6576853817972,151051
"182","DEM",182039,1071897.72,"DEM",13.8849412056133,182039
"183","REP",171583,1828019.08,"REP",14.4187434685785,171583
"184","REP",246483,772848.12,"REP",13.5578378270227,246483
"185","DEM",127127,61906,"DEM",11.0333723845083,127127
"186","NPA",16951,13970,"Other",9.54466745225101,16951
"187","DEM",195311,1189875.53,"DEM",13.9893592629784,195311
"188","REP",144450,31975.43,"REP",10.3727230743629,144450
"189","DEM",198491,14388.35,"DEM",9.57417413034672,198491
"190","REP",107498,50734.93,"REP",10.8343699069941,107498
"191","REP",258016,1010409.94,"REP",13.8258666876581,258016
"192","DEM",124713,57243.04,"DEM",10.9550613419736,124713
"193","REP",253559,1751756.14,"REP",14.376129351293,253559
"194","DEM",116110,44032,"DEM",10.692671921293,116110
"195","DEM",184693,1983386.46,"DEM",14.5003162750496,184693
"196","REP",171149,2230282.46,"REP",14.6176387990923,171149
"197","DEM",195789,847945.54,"DEM",13.6505716910136,195789
"198","REP",121088,33654.68,"REP",10.4239074041542,121088
"199","REP",182999,1199262.94,"REP",13.9972177093832,182999
"200","DEM",135475,37571.54,"DEM",10.5340021278797,135475
"201","REP",230654,918163.59,"REP",13.7301308563408,230654
"202","DEM",155262,55021.43,"DEM",10.9154780246897,155262
"203","REP",209348,918536.35,"REP",13.7305367582489,209348
"204","DEM",115974,149553.82,"DEM",11.9154116070284,115974
"205","REP",13353,7800,"REP",8.96187901267768,13353
"206","REP",201488,2872938.76,"REP",14.8708460220364,201488
"207","DEM",161918,10862988.41,"DEM",16.2008720104909,161918
