"","can_party","general_votes","ttl_disb","state"
"106","DEM",0.690977109329643,-0.322122278724644,"CA"
"107","DEM",0.331545007272374,0.330992908683227,"CA"
"108","REP",0.172188483962346,2.04940115058419,"CA"
"109","DEM",-0.301640035905399,-0.801102789483635,"CA"
"110","DEM",-0.377817254767017,-0.374687153083381,"CA"
"111","DEM",-0.109051589526271,-0.0679089401004562,"CA"
"112","REP",-0.842902495473992,-0.661266973586396,"CA"
"113","REP",0.156890854705238,0.152226759578094,"CA"
"114","DEM",-0.40101244059182,-0.735448644361502,"CA"
"115","DEM",0.374166938544009,-0.0268611096251985,"CA"
"116","REP",-1.05010453077759,-0.859368426683417,"CA"
"117","DEM",-0.544847466899513,0.645303407470969,"CA"
"118","DEM",-0.6422921215576,0.681104751862613,"CA"
"119","REP",0.568198088170149,0.481894622841031,"CA"
"120","DEM",-0.0957812070731527,-0.768322902483985,"CA"
"121","DEM",-0.269689133822869,-0.132339550701118,"CA"
"122","DEM",-1.08933113457997,-0.644164335393417,"CA"
"123","DEM",0.221713004045116,-0.392856753177869,"CA"
"124","REP",-0.607219508138863,-0.807321906081134,"CA"
"125","REP",0.519481979389585,-0.338112323101394,"CA"
"126","DEM",-0.114635846059963,-0.780575453044458,"CA"
"127","REP",0.235754486509568,4.15371855090593,"CA"
"128","DEM",0.215593952342273,0.768498324205024,"CA"
"129","REP",0.534854231228435,-0.117705279623433,"CA"
"130","DEM",-0.41398433271797,-0.843110392158947,"CA"
"131","DEM",0.102354184548797,-0.0123446772851449,"CA"
"132","REP",-1.02693421914671,-0.80119051687942,"CA"
"133","DEM",0.551221450823846,1.20432712845125,"CA"
"134","REP",0.0307289431734405,0.281379080925048,"CA"
"135","DEM",0.771793365356222,-0.48770549323028,"CA"
"136","REP",-0.48460216923981,-0.765559104085211,"CA"
"137","DEM",1.49645325665272,0.0729154003945131,"CO"
"138","REP",-0.396771390529484,-0.813675883980063,"CO"
"139","DEM",1.53278201686412,0.19644027036216,"CO"
"140","REP",0.411279235863694,-0.729100420120925,"CO"
"141","REP",0.83686425663524,0.760971807952643,"CO"
"142","DEM",0.173892366245455,0.477197762123838,"CO"
"143","REP",1.38422089371276,-0.25817019130632,"CO"
"144","DEM",-0.16529214196582,-0.80338285144057,"CO"
"145","REP",1.10084163954754,-0.591622372356543,"CO"
"146","DEM",-0.314114444153269,-0.850957738440792,"CO"
"147","REP",0.680231457558796,1.97896562795402,"CO"
"148","DEM",0.291522429264751,1.62724496176666,"CO"
"149","DEM",0.781369930013111,0.519489638435769,"CO"
"150","REP",0.0887231262839265,-0.821124368227804,"CO"
"151","DEM",0.622958626071816,0.42183269191432,"CT"
"152","DEM",-1.53308675400569,0.42183269191432,"CT"
"153","REP",-0.388761900089176,-0.84508467578382,"CT"
"154","DEM",0.612872140439689,0.0558535782088489,"CT"
"155","DEM",-1.42186179591925,0.0558535782088489,"CT"
"156","REP",-0.320668794249607,-0.82153910845167,"CT"
"157","DEM",0.688290696386931,0.0526998979333439,"CT"
"158","DEM",-1.43815439293292,0.0526998979333439,"CT"
"159","DEM",0.632783932667845,0.0477481914757713,"CT"
"160","REP",-0.202466624770289,-0.733810409351375,"CT"
"161","REP",-1.63997116525414,-0.733810409351375,"CT"
"162","DEM",0.330413231449287,0.288290297456559,"CT"
"163","DEM",-1.50711809555948,0.288290297456559,"CT"
"164","REP",-1.64208547173683,-0.783286745337248,"CT"
"165","REP",-0.149646273993915,-0.783286745337248,"CT"
"166","DEM",1.20169405877185,0.291429720738855,"DE"
"167","REP",0.439884558864791,-0.685749894513336,"DE"
"168","DEM",1.59500481293998,-0.491088922487772,"DC"
"169","REP",1.46975080948604,0.023157246407975,"FL"
"170","DEM",-0.2842281001656,-0.818516935825903,"FL"
"171","REP",1.17195695994766,0.765594634027284,"FL"
"172","DEM",-0.424493679646634,-0.753222259251063,"FL"
"173","Other",-1.58619315801208,-0.839677365412815,"FL"
"174","REP",0.707804501512462,-0.230401923513298,"FL"
