"","can_party","general_votes","ttl_disb","state","lamvotes","tvotes","tdisb","disb","votes"
"136","REP",170933,208818.45,"IA",4783.91093378126,0.51926859988468,-0.854611093523717,12.2492204931559,29218090489
"137","REP",208598,2468355.99,"IA",5466.94166855769,0.629657713849208,0.776872681583146,14.719062895907,43513125604
"138","REP",226719,957450,"IA",5780.82719083998,0.995933162179969,-0.090095152312472,13.7720287793523,51401504961
"139","REP",169992,1635626.43,"KS",4766.24435949986,0.684478918110648,0.729032654043752,14.3075364265497,28897280064
"140","REP",874,1347875.17,"KS",138.060038566664,-0.992440692612947,0.12272518749602,14.1140399623088,763876
"141","REP",181228,1530822.51,"KS",4975.14655560315,0.840840966431188,0.541282245386882,14.2413157371551,32843587984
"142","REP",176022,4081243.76,"KS",4878.90337416052,0.200018496120146,0.979792121426701,15.2219123430624,30983744484
"143","REP",166998,1461220.83,"KS",4709.81818757062,0.780679942053822,0.624931058657545,14.1947828292082,27888332004
"144","REP",216959,1070732.08,"KY",5612.84134641987,0.999939009228599,-0.0110443570626696,13.8838531594048,47071207681
"145","REP",209810,1070732.08,"KY",5488.20908776633,0.999926457837119,-0.0121276097114333,13.8838531594048,44020236100
"146","REP",251825,1318277.41,"KY",6202.35936532073,0.991658190502649,0.128895435175227,14.0918364498942,63415830625
"147","REP",122093,4680,"KY",3818.02061570134,-0.210247375522258,-0.977648219497178,8.45105338891169,14906700649
"148","REP",233922,430426.25,"KY",5903.2751150121,0.918351067968338,-0.395766744385393,12.9725312757469,54719502084
"149","REP",221242,1363365.48,"KY",5686.85959383533,0.978396665336193,0.206736463302963,14.125466818535,48948022564
"150","REP",202099,2604489.66,"KY",5352.19706063474,0.557184448787549,0.830388758371231,14.7727473061077,40844005801
"151","REP",243645,3650778.44,"LA",6066.6073980033,0.54545037222259,0.83814312109701,15.1104509740525,59362886025
"152","REP",84912,379115.16,"LA",2993.07749673929,-0.755742728139939,-0.654868634814344,12.8455952901536,7210047744
"153","REP",91532,2005704.24,"LA",3147.55397318916,-0.610760068537862,0.791815722677711,14.5115057989471,8378107024
"154","REP",25662,738256.88,"LA",1341.73576115774,-0.980793154345411,-0.195050732859887,13.512047118899,658538244
"155","REP",24882,569613.8,"LA",1314.24219364261,-0.959485163509679,-0.281759154252004,13.2527138663145,619113924
"156","REP",21607,140889.98,"LA",1195.53321432831,-0.886177526828857,-0.463345865357068,11.8557345810926,466862449
"157","REP",2457,157525.93,"LA",277.438378108988,-0.915147552564792,-0.403119035812836,11.9673453586176,6036849
"158","REP",70580,1005718.09,"LA",2644.21543201919,-0.997129691060958,-0.0757124772060629,13.8212123617422,4981536400
"159","REP",50412,784325.74,"LA",2110.16228621257,-0.976287471621464,-0.2164781114916,13.5725796977366,2541369744
"160","REP",44521,856351.81,"LA",1941.46669135315,-0.987777626929374,-0.155869688322569,13.66043656368,1982119441
"161","REP",21017,1001661.2,"LA",1173.53374978361,-0.998957366576988,-0.045652817673934,13.8171703796977,441714289
